t,x,y,z
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,1.138086209014341987e+00,7.978095597002781147e-01,9.050635433271052577e-01
2.000000000000000111e-01,1.261655705056464960e+00,5.914297095243958857e-01,8.200062425023763035e-01
3.000000000000000444e-01,1.369603028901297037e+00,3.815030666484237054e-01,7.452933763461371264e-01
4.000000000000000222e-01,1.460859352831359814e+00,1.687302434100754756e-01,6.806528537113119004e-01
5.000000000000000000e-01,1.534447557725553191e+00,-4.631942164115773752e-02,6.242319968366296656e-01
6.000000000000000888e-01,1.589391403552846471e+00,-2.627171150161489721e-01,5.747431736005521596e-01
7.000000000000000666e-01,1.624696047636985607e+00,-4.789308620405647310e-01,5.329609991045685113e-01
8.000000000000000444e-01,1.639536257641728501e+00,-6.936173667511413843e-01,4.978730227627690130e-01
9.000000000000000222e-01,1.633260102741294739e+00,-9.056132061040343961e-01,4.666824814621296502e-01
1.000000000000000000e+00,1.605244450820705326e+00,-1.113081109758057075e+00,4.394464570384528646e-01
1.100000000000000089e+00,1.555007949325384331e+00,-1.314006795285890927e+00,4.167511443847083941e-01
1.200000000000000178e+00,1.482305440872002888e+00,-1.506639784564137274e+00,3.972555585207938056e-01
1.300000000000000044e+00,1.387076329576066858e+00,-1.689171543850453538e+00,3.796104166285359516e-01
1.400000000000000133e+00,1.269393830801883505e+00,-1.859390887309054108e+00,3.647327709767064774e-01
1.500000000000000000e+00,1.129579089278862636e+00,-2.015288671548495891e+00,3.523735698471969213e-01
1.600000000000000089e+00,9.682006637252186243e-01,-2.155033729669729503e+00,3.413156337503041593e-01
1.700000000000000178e+00,7.860117848208422187e-01,-2.276595434587706634e+00,3.319149295417920253e-01
1.800000000000000044e+00,5.839974681457527073e-01,-2.378030949593005872e+00,3.244878142343664007e-01
1.900000000000000133e+00,3.634019328472679611e-01,-2.457650940671469275e+00,3.184191430895004227e-01
2.000000000000000000e+00,1.256952885701339007e-01,-2.513850389110453776e+00,3.133796314637362079e-01
2.100000000000000089e+00,-1.274461018735245643e-01,-2.545041686903691147e+00,3.098655621957014938e-01
2.200000000000000178e+00,-3.941123229178559173e-01,-2.549907363722859976e+00,3.078558804236089519e-01
2.300000000000000266e+00,-6.721657267101472932e-01,-2.527400194329095573e+00,3.069213404105085030e-01
2.400000000000000355e+00,-9.592812993449286729e-01,-2.476610307397347555e+00,3.071822338419077369e-01
2.500000000000000000e+00,-1.252949278856546389e+00,-2.396836758907373799e+00,3.088853954437578708e-01
2.600000000000000089e+00,-1.550493251341892087e+00,-2.287697447573179943e+00,3.120749446978868802e-01
2.700000000000000178e+00,-1.849076436163055170e+00,-2.149128019022522373e+00,3.166559802404861346e-01
2.800000000000000266e+00,-2.145745761902645654e+00,-1.981355778801269008e+00,3.226642188871744477e-01
2.900000000000000355e+00,-2.437431000322474617e+00,-1.784825455399554173e+00,3.304321952849215704e-01
3.000000000000000000e+00,-2.721006612350547638e+00,-1.560333946591310639e+00,3.402339302427671575e-01
3.100000000000000089e+00,-2.993317885397692280e+00,-1.309062362356862463e+00,3.522639066015484932e-01
3.200000000000000178e+00,-3.251180933357550984e+00,-1.032576024882931653e+00,3.666370692339003812e-01
3.300000000000000266e+00,-3.491429868091098676e+00,-7.328084765724600658e-01,3.835669114327169837e-01
3.400000000000000355e+00,-3.710976035825344077e+00,-4.119216699648396984e-01,4.036374503603682440e-01
3.500000000000000000e+00,-3.906806103400272789e+00,-7.239010333049955559e-02,4.273909441718792834e-01
3.600000000000000089e+00,-4.076094247570461349e+00,2.829104930879182689e-01,4.555110461696655344e-01
3.700000000000000178e+00,-4.216204559931281182e+00,6.507024739084394938e-01,4.888296833372949290e-01
3.800000000000000266e+00,-4.324691046918903048e+00,1.027306278609763757e+00,5.283270563394881769e-01
3.900000000000000355e+00,-4.399394818472735835e+00,1.408783543857546672e+00,5.754479654174801118e-01
4.000000000000000000e+00,-4.438528547630324006e+00,1.791007813471016341e+00,6.318376346559380075e-01
4.100000000000000533e+00,-4.440463261785210669e+00,2.169141553344235973e+00,6.983827324169417095e-01
4.200000000000000178e+00,-4.404112202222583150e+00,2.538125105742099485e+00,7.768475148281435150e-01
4.299999999999999822e+00,-4.328950542154851533e+00,2.892704865171042528e+00,8.699512424355859697e-01
4.400000000000000355e+00,-4.215015386721645108e+00,3.227433278379027826e+00,9.813681802037008683e-01
4.500000000000000000e+00,-4.062905772989819475e+00,3.536668844355538965e+00,1.115727597515305591e+00
4.600000000000000533e+00,-3.873889746271517609e+00,3.814741548373235425e+00,1.277121795302153417e+00
4.700000000000000178e+00,-3.649828033076185196e+00,4.054957908369348552e+00,1.468266942701458522e+00
4.800000000000000711e+00,-3.393028434086093892e+00,4.249750047396752883e+00,1.693377400633832242e+00
4.900000000000000355e+00,-3.106760250588301187e+00,4.392478380878527489e+00,1.953204318140988605e+00
5.000000000000000000e+00,-2.795271954230346800e+00,4.477480618844785987e+00,2.244836804246486128e+00
