t_event,value
8.000000000000000444e-01,1.639536257641728501e+00
7.100000000000000533e+00,1.733584585014315449e+00
1.330000000000000071e+01,1.481492865123421820e+00
1.960000000000000142e+01,2.063031314080349787e+00
2.580000000000000071e+01,3.523567807460709078e-01
3.220000000000000284e+01,1.670950234396757050e+00
3.840000000000000568e+01,1.634961765692743985e+00
4.470000000000000284e+01,1.722804202325130873e+00
5.090000000000000568e+01,1.492951168029931885e+00
5.720000000000000284e+01,2.039154236620090543e+00
6.340000000000000568e+01,4.455150464175303693e-01
6.979999999999999716e+01,1.852157884420807310e+00
7.600000000000000000e+01,1.104670618048810171e+00
8.230000000000001137e+01,2.444400976946715431e+00
9.150000000000000000e+01,5.161217943006943809e-01
9.790000000000000568e+01,1.965884911849993921e+00
1.041000000000000085e+02,7.194959945729326733e-01
1.105000000000000000e+02,2.257532810591851291e+00
1.168000000000000114e+02,-4.133121358643994103e-01
